Subject,Cat #,Section,Code,Instructor
FREN,230,401,FREN 230 401,"Provencher,Denis Michael"
FREN,231,101,FREN 231 101,"Kaye,Deborah A"
FREN,231,101,FREN 231 101,"Provencher,Denis Michael"
FREN,231,102,FREN 231 102,"Kaye,Deborah A"
FREN,231,102,FREN 231 102,"Provencher,Denis Michael"
FREN,231,401,FREN 231 401,"Kaye,Deborah A"
FREN,231,401,FREN 231 401,"Provencher,Denis Michael"
FREN,280,101,FREN 280 101,"Hellmich,Emily Ann Bunker"
FREN,280,101,FREN 280 101,"Provencher,Denis Michael"
FREN,280,401,FREN 280 401,"Hellmich,Emily Ann Bunker"
FREN,280,401,FREN 280 401,"Provencher,Denis Michael"
FSHD,197A,101,FSHD 197A 101,"Collins,Elizabeth Anna"
FSHD,197A,401,FSHD 197A 401,"Collins,Elizabeth Anna"
FSHD,347,101,FSHD 347 101,"Dewey,Caleb Randy"
FSHD,347,401,FSHD 347 401,"Dewey,Caleb Randy"
GEOG,150B2,101,GEOG 150B2 101,"Bloch,Stefano Emanuel"
GEOG,150B2,401,GEOG 150B2 401,"Bloch,Stefano Emanuel"
GEOG,150C1,101,GEOG 150C1 101,"Tarantini,Lara"
GEOG,150C1,401,GEOG 150C1 401,"Tarantini,Lara"
GEOG,170A1,101,GEOG 170A1 101,"Decker,Paula"
GEOG,170A1,401,GEOG 170A1 401,"Decker,Paula"
GEOG,205,101,GEOG 205 101,"Lukinbeal,Christopher L"
GEOG,205,401,GEOG 205 401,"Lukinbeal,Christopher L"
GEOG,222,101,GEOG 222 101,"Jurjevich,Jason R"
GEOG,222,401,GEOG 222 401,"Jurjevich,Jason R"
GEOG,305,101,GEOG 305 101,"Kear,Mark Thomas Fraser"
GEOG,305,401,GEOG 305 401,"Kear,Mark Thomas Fraser"
GEOG,363,101,GEOG 363 101,"Liverman,Diana M"
GEOG,363,401,GEOG 363 401,"Liverman,Diana M"
GEOG,417,101,GEOG 417 101,"Christopherson,Gary"
GEOG,417,101,GEOG 417 101,"Wissler,Craig A"
GEOG,417,401,GEOG 417 401,"Christopherson,Gary"
GEOG,417,401,GEOG 417 401,"Wissler,Craig A"
GEOG,457,101,GEOG 457 101,"Sanchez Trigueros,Fernando"
GEOG,457,401,GEOG 457 401,"Sanchez Trigueros,Fernando"
GEOG,482,101,GEOG 482 101,"Guertin,D Phillip"
GEOG,482,401,GEOG 482 401,"Guertin,D Phillip"
GIST,417,101,GIST 417 101,"Christopherson,Gary"
GIST,417,101,GIST 417 101,"Wissler,Craig A"
GIST,417,401,GIST 417 401,"Christopherson,Gary"
GIST,417,401,GIST 417 401,"Wissler,Craig A"
GIST,457,101,GIST 457 101,"Sanchez Trigueros,Fernando"
GIST,457,401,GIST 457 401,"Sanchez Trigueros,Fernando"
GIST,482,101,GIST 482 101,"Guertin,D Phillip"
GIST,482,401,GIST 482 401,"Guertin,D Phillip"
GWS,160C1,1,GWS 160C1 1,"Croissant,Jennifer L"
GWS,160C1,401,GWS 160C1 401,"Croissant,Jennifer L"
GWS,200,101,GWS 200 101,-
GWS,200,102,GWS 200 102,-
GWS,200,401,GWS 200 401,-
GWS,200,402,GWS 200 402,-
GWS,317,101,GWS 317 101,"Croissant,Jennifer L"
GWS,317,401,GWS 317 401,"Croissant,Jennifer L"
GWS,321,101,GWS 321 101,"Kaye,Deborah A"
GWS,321,401,GWS 321 401,"Kaye,Deborah A"
GWS,342,102,GWS 342 102,"Abana,Yuxuf A"
GWS,342,402,GWS 342 402,"Abana,Yuxuf A"
HIST,150C1,101,HIST 150C1 101,"Pierce,Mary L"
HIST,150C1,401,HIST 150C1 401,"Pierce,Mary L"
HIST,160D1,101,HIST 160D1 101,"Lawrance,Benjamin N"
HIST,160D1,401,HIST 160D1 401,"Lawrance,Benjamin N"
HIST,205,101,HIST 205 101,"Bauschatz,John F"
HIST,205,401,HIST 205 401,"Bauschatz,John F"
HIST,207,101,HIST 207 101,"Milliman,Paul R"
HIST,207,101A,HIST 207 101A,"Milliman,Paul R"
